ArrayID	Name	BitVector
PCSK6	PCSK6: PCSK6	02211202212212211122201111222210211212201212101022201210220222220111221112221212220122202021212200010220220101212102222021120022121112
C6orf138	C6orf138: C6orf138	02110102202011101211010210121222211112212111222111010022210110001022120000020112102121211111012002211102222100202111102222101011101112
OR10P1	OR10P1: OR10P1	00000000000000000000000000000000000011100000000000100000000000000000000010001000000000000000000001100000100000002000000010002020000000
DOC2B	DOC2B: DOC2B	21121120020121222020122212111120112202220120220221220122112100002221002220002122202220020102012222220102222022122022120202222202102222
GMNN	GMNN: GMNN	02211112212202100212201000222202121210002211012121012111210122221001221112220211021021212120222000001220201011110220202021110021121100
NELL1	NELL1: NELL1	22200122211010010021120221022010012022121211122202201022012021112122122011011221210121212100111122221202021002212010010202222111022122
OR6K3	OR6K3: OR6K3	00000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
MIR374B	MIR374B: MIR374B	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
OR2T34	OR2T34: OR2T34	11111111111111111111111111111111111121111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
LOC613038	LOC613038: LOC613038	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
MAP7	MAP7: MAP7	02202202222202110112201200222210212201111222002222221221221222220110222122221222221022222121222200010220212022220211202020120022121220
ICMT	ICMT: ICMT	01101111101211111111111100211110111111101112111111111211110111120111111021211111121111111111211111110121111011110120211111111111111111
DPY30	DPY30: DPY30	01111111101111111112101011111212111110011111011111111111111112121111111111121111011111212121221111111111111111111121102010121121111111
BHLHB9	BHLHB9: BHLHB9	11111101021121121121022021112020111111210221211111111112112011101111111211002121102111020111111212210112122112011101120012222201122221
SPINK6	SPINK6: SPINK6	00110001110000000002000000000000000001000000010100000000200120000000000200020000022000000001200020100000010000210000100000000200000001
KCTD9	KCTD9: KCTD9	10111221012212111011211121212110111101110112111221111111221221210110121121111111111121011111101011110111111011111111221112111111111111
ACTR10	ACTR10: ACTR10	11111111111111112011111011111111011011111111111111111111111122111111111111111111011111112111211111111111010111111121111101121111111111
TMBIM4	TMBIM4: TMBIM4	01111111111112111012111111111111111111111101111111111211211122121111121111221111011111112111211011101121010121111120212011111111111011
